county,Year,internet
810,2010,90
820,2010,50
830,2010,70
840,2010,30
1,2011,50
3,2011,70
5,2011,50
7,2011,50
9,2011,30
11,2011,10
13,2011,90
15,2011,50
17,2011,50
19,2011,30
21,2011,30
23,2011,50
25,2011,10
27,2011,30
29,2011,30
31,2011,30
33,2011,30
35,2011,50
36,2011,30
37,2011,10
41,2011,90
43,2011,50
45,2011,50
47,2011,50
49,2011,30
51,2011,30
53,2011,30
57,2011,30
59,2011,90
61,2011,50
63,2011,50
65,2011,70
67,2011,30
69,2011,50
71,2011,50
73,2011,70
75,2011,50
77,2011,50
79,2011,70
81,2011,10
83,2011,30
85,2011,70
87,2011,70
89,2011,50
91,2011,50
93,2011,50
95,2011,90
97,2011,10
99,2011,50
101,2011,30
103,2011,30
105,2011,10
107,2011,90
109,2011,30
111,2011,30
113,2011,30
115,2011,10
117,2011,30
119,2011,50
121,2011,50
125,2011,50
127,2011,70
131,2011,50
133,2011,10
135,2011,70
137,2011,50
139,2011,50
141,2011,50
143,2011,50
145,2011,70
147,2011,50
149,2011,50
153,2011,90
155,2011,30
157,2011,50
159,2011,30
161,2011,70
163,2011,30
165,2011,50
167,2011,10
169,2011,50
171,2011,70
173,2011,50
175,2011,30
177,2011,70
179,2011,90
181,2011,10
183,2011,30
185,2011,50
187,2011,70
191,2011,50
193,2011,30
195,2011,50
197,2011,50
199,2011,90
510,2011,70
515,2011,30
520,2011,50
530,2011,50
540,2011,70
550,2011,90
570,2011,70
580,2011,50
590,2011,50
595,2011,50
600,2011,90
610,2011,90
620,2011,50
630,2011,70
640,2011,50
650,2011,70
660,2011,70
670,2011,50
678,2011,70
680,2011,50
683,2011,90
685,2011,90
690,2011,50
700,2011,70
710,2011,70
720,2011,50
730,2011,50
735,2011,90
740,2011,70
750,2011,30
760,2011,70
770,2011,50
775,2011,70
790,2011,50
800,2011,70
810,2011,90
820,2011,50
830,2011,70
840,2011,70
1,2012,50
3,2012,70
5,2012,50
7,2012,50
9,2012,50
11,2012,30
13,2012,90
15,2012,50
17,2012,50
19,2012,50
21,2012,50
23,2012,50
25,2012,30
27,2012,30
29,2012,30
31,2012,50
33,2012,50
35,2012,50
36,2012,30
37,2012,30
41,2012,90
43,2012,50
45,2012,50
47,2012,50
49,2012,30
51,2012,50
53,2012,30
57,2012,30
59,2012,90
61,2012,70
63,2012,50
65,2012,70
67,2012,50
69,2012,50
71,2012,50
73,2012,70
75,2012,50
77,2012,50
79,2012,70
81,2012,10
83,2012,30
85,2012,70
87,2012,70
89,2012,50
91,2012,70
93,2012,50
95,2012,90
97,2012,10
99,2012,50
101,2012,30
103,2012,30
105,2012,30
107,2012,90
109,2012,30
111,2012,30
113,2012,30
115,2012,30
117,2012,30
119,2012,50
121,2012,90
125,2012,30
127,2012,50
131,2012,50
133,2012,10
135,2012,70
137,2012,50
139,2012,50
141,2012,50
143,2012,50
145,2012,50
147,2012,50
149,2012,70
153,2012,90
155,2012,50
157,2012,50
159,2012,30
161,2012,70
163,2012,30
165,2012,50
167,2012,30
169,2012,50
171,2012,70
173,2012,50
175,2012,30
177,2012,70
179,2012,90
181,2012,10
183,2012,30
185,2012,50
187,2012,70
191,2012,50
193,2012,50
195,2012,50
197,2012,50
199,2012,70
510,2012,70
515,2012,50
520,2012,70
530,2012,50
540,2012,70
550,2012,90
570,2012,70
580,2012,50
590,2012,50
595,2012,30
600,2012,90
610,2012,70
620,2012,50
630,2012,70
640,2012,50
650,2012,70
660,2012,50
670,2012,50
678,2012,70
680,2012,50
683,2012,90
685,2012,90
690,2012,50
700,2012,90
710,2012,70
720,2012,70
730,2012,50
735,2012,90
740,2012,70
750,2012,70
760,2012,70
770,2012,50
775,2012,70
790,2012,50
800,2012,70
810,2012,90
820,2012,50
830,2012,70
840,2012,70
1,2013,50
3,2013,70
510,2013,90
5,2013,70
7,2013,50
9,2013,50
11,2013,30
13,2013,90
15,2013,50
17,2013,50
515,2013,70
19,2013,50
21,2013,50
23,2013,50
520,2013,70
25,2013,30
27,2013,50
29,2013,50
530,2013,50
31,2013,50
33,2013,50
35,2013,50
36,2013,30
37,2013,30
540,2013,70
550,2013,90
41,2013,90
43,2013,50
570,2013,70
580,2013,50
45,2013,50
47,2013,70
49,2013,30
590,2013,50
51,2013,30
53,2013,30
595,2013,30
57,2013,30
600,2013,90
59,2013,90
610,2013,70
61,2013,70
63,2013,50
65,2013,70
620,2013,50
67,2013,50
69,2013,50
630,2013,90
640,2013,50
71,2013,50
73,2013,70
75,2013,50
77,2013,50
79,2013,70
81,2013,30
83,2013,50
650,2013,90
85,2013,70
660,2013,50
87,2013,70
89,2013,50
91,2013,70
670,2013,50
93,2013,50
95,2013,90
97,2013,30
99,2013,50
101,2013,30
103,2013,30
105,2013,30
678,2013,70
107,2013,90
109,2013,30
111,2013,30
680,2013,70
113,2013,50
683,2013,90
685,2013,90
690,2013,50
115,2013,50
117,2013,30
119,2013,50
121,2013,50
125,2013,50
127,2013,70
700,2013,90
710,2013,70
131,2013,50
133,2013,30
720,2013,70
135,2013,50
137,2013,50
139,2013,50
141,2013,70
730,2013,50
143,2013,50
735,2013,90
740,2013,70
145,2013,70
147,2013,50
149,2013,70
153,2013,90
155,2013,50
750,2013,70
157,2013,70
760,2013,70
159,2013,30
770,2013,70
161,2013,70
163,2013,50
165,2013,50
167,2013,30
775,2013,70
169,2013,50
171,2013,70
173,2013,70
175,2013,30
177,2013,70
179,2013,90
790,2013,70
800,2013,70
181,2013,10
183,2013,30
185,2013,50
810,2013,90
187,2013,70
191,2013,70
820,2013,70
193,2013,50
830,2013,70
840,2013,70
195,2013,50
197,2013,50
199,2013,70
1,2014,50
3,2014,90
5,2014,70
7,2014,70
9,2014,50
11,2014,30
13,2014,90
15,2014,50
17,2014,50
19,2014,50
21,2014,50
23,2014,70
25,2014,30
27,2014,30
29,2014,50
31,2014,50
33,2014,50
35,2014,50
36,2014,30
37,2014,30
41,2014,90
43,2014,50
45,2014,70
47,2014,70
49,2014,30
51,2014,50
53,2014,50
57,2014,30
59,2014,90
61,2014,70
63,2014,70
65,2014,70
67,2014,50
69,2014,70
71,2014,50
73,2014,70
75,2014,70
77,2014,50
79,2014,70
81,2014,30
83,2014,50
85,2014,70
87,2014,90
89,2014,50
91,2014,70
93,2014,70
95,2014,90
97,2014,30
99,2014,70
101,2014,30
103,2014,50
105,2014,30
107,2014,90
109,2014,30
111,2014,50
113,2014,50
115,2014,50
117,2014,50
119,2014,50
121,2014,70
125,2014,50
127,2014,70
131,2014,50
133,2014,50
135,2014,50
137,2014,70
139,2014,50
141,2014,70
143,2014,50
145,2014,70
147,2014,70
149,2014,70
153,2014,90
155,2014,50
157,2014,70
159,2014,30
161,2014,70
163,2014,50
165,2014,50
167,2014,30
169,2014,90
171,2014,70
173,2014,70
